text,label
정말 재미있네요 어떻게 이런 영화가 나올 수 있는지 모르겠요!@,부정
제 개인적인 생각은 개노잼이네요.,부정
아주 흥미진진하다.,긍정
내 인생 30년 최고의 영화입니다. 역시 시걸 영화 ^^,긍정
음....뭔가...만들어지다가 만거같은데..,부정
그냥 평범 이 정도 점수는 아니지,부정
헐리우드판 클레멘타인... 아 젠장할... 이거랑 클레멘타인 둘다 영화관에서 봤다...,부정
1점도 아니라 0점이다!!!,부정
케니지의 사운드트랙은 정말 좋은데 영화는 너무 지루함.,부정
백진희 귀여워서 별2개.중간중간 손발이오그라드는장면땜시 영화를 보는데 몰입감이 확확 떨어져버림.,부정
보고난후의 이 슬픈여운이란.. 애잔하고 슬펐다,긍정
열라 젬 없음 ^^;;;,부정
ㅡㅡ티아라 효민 년때문에 보고싶지가않다다른배우덕에두개받은줄아쉡,부정
뤽 베송 연출작중 가장 재미없고 실망스런 작품. 이자벨 아자니의 미모만 빛이 날뿐..,부정
"니들눈엔 저게 어떻게 예술이라는거야?! 폼잡지 말고, 솔직하게 평점해!",부정
그저 잘생긴 배우가 아닌 최고의 배우다. 개봉시기를 잘못 잡아서 저평가된 거 같다.,긍정
재밌고만 ㅋㅋㅋ,긍정
이거 심하다 심해ㅜㅜ절대보지말아요,부정
키아누 리브스 언제까지 내리막을 탈것인가?,부정
이런 부류의 오컬트 무비를 신분계급으로 비유를 하자면 오멘과 엑소시스트를 왕족과 귀족으로 볼 수 있고 본 영화는 단세포 아메바로 비유할 수 있음..믄 평점을 별 5개6개를 주는지 납득이 안되네..진짜 영화 평점 알바가 존재 하는건가..그게 더 무섭다.,부정
사이먼 만 불러대는 공주님때문에 ~~ㅋㅋㅁ,긍정
최악에 드라마다 진짜 너무지저분하고더럽다 작가쓰레기이다아무리돈도좋지만 연애인들 생각좀해가며 드라마좀 찍었음좋겠다,부정
고난과 역경을 뚫고 나가는 그램리탄광밴드!,긍정
지루하고 쓰레기,부정
잘나가다가 끝부분에서 망쳤다. 끝부분만 좀 더 신경써서 다르게 전개했다면 좋았을텐데 아쉬운 작품.,부정
"하나도 아까운 영화. 왜 인지 모를 부자와, 누구인지 모를 주인공, 왜 보여주는지 모를 카미카제미화 영화.",부정
협상하는 척 하다 연애모드 가더니 고작 한다는 게 전쟁놀이,부정
너무잼있었음,긍정
나름대로 볼만한 웃긴 사이클로종족,부정
내인생에서 가장 아름다운 영화 이루말할수없을만큼...,긍정
허허 공포의 도가니엿답니다 ㅋㅋㅋㅋ,부정
안 웃긴다,부정
사랑과 전쟁 극장판. 불륜은 아름답지 않다.,부정
80년대 최고의 섹시가이 미키루크 하나만으로도 볼만한 가치가 있는 영화,긍정
상상력이 도를 지나쳤다...도저히 이해해줄수 없는 역한 영화,부정
목적에 충실한 서울홍보작품 : 근데 꼭 이렇게 싼티가 나야만 했을까.,부정
댓글 1년에 한번 달까말까하는 사람입니다.. 드라마는 보고싶은데 김혜선씨와 주나역하는 사람 발연기때문에 보는 내내 머씹은표정으로 보다가 입모양새 고치곤 합니다 ㅡㅡ 걍 빨리 친엄마 찾고 끝나버렸음 좋겠어요,부정
잊을수 없는 명작 힐링이 됨,긍정
전달하고자 하는 메세지는 알겠는데 영화 전개가 너무 허술하다.,부정
로버트 패틴슨을 다시보게된 영화. 내면연기를 너무 훌륭히 소화해냈다.,긍정
처음 중간은 아주재밌었다. 하지만 끝에는 허무하고 황당했다.,긍정
이런영화를만들엇으니 클라우저씨가 지옥에서 강림하셔서 너희를 겁탈할것이다!,부정
용두사미..기대가 컸으나 실망은 더 큼.,부정
의미도 있고 재밌는 영화임. 왜 이렇게 평점이 낮은지 이해가 안될 정도로,긍정
자연을 훼손하지 말고 어우러져 살았으면 좋겠다,긍정
퀵실버 잘생겨지기전ㅋㅋ..,긍정
글쎄요...,부정
잘모르겠습니다. 저는 재미가있는지..,부정
바디... 머냐... 짜증지대로다머가죽은자를기억하는19개의조각이냐허접한영화돈아까,부정
엑스파일의 TV판의 나몰라라 외전격인 영화. 이 영화를만든 자체가 음모로군,부정
첩혈쌍웅과는 또 다른 스토리...잘 만들었다...볼만하네요...^^;;,긍정
미스와이프 보고 버린 내 감성 패밀리맨으로 재충전 하고 갑니다.,긍정
재밌습니다,긍정
tv 전기세가 아깝다!!!,부정
"초등학생 시절에 접했던 스파이더맨 3부작을 히어로물 매니아가 된 지금 다시 찾았다. 리부트 후 세계관 확장에 신경쓰고 있지만, 독립된 세계관으로써도 깊은 여운과 재미를 줬던 샘레이미 감독과 토비 맥과이어의 스파이더맨 3부작은 정말 최고라 말하고 싶다.",긍정
내용에 대한 사전지식이 하나도 없으면 앞부분은 엄청 지루하다.,부정
보다가 나온 영화는 이영화가 첨이네.,부정
Ocn에서 하는거 보는데.... 황인영 슴가만 기억에 남는다....,부정
진심 핵폐기물 쓰레기다.,부정
"신비의법?아동청소년보호법?정말 신기하긴,시기하지.프로게이머가 국제경기중에,셧다운제 지킬라고,접속 끊고,G.G.를 선언할 정도니...이세상 그어디에도 없는,@신비의법@이긴 하다만...왠지 쪽 팔리네.역시...그따위법.여성 가족부나 지키고 살아라.(웃음)",긍정
정말 귀여운 이야기가 딱 맞는말^^ 남자여자주인공 다 멋지다,긍정
어렸을 때 정말 재밌게 본 영화 아직도 엔딩씬이 잊혀지지 않는다~,긍정
드라마인듯....,부정
"재밌다, 그 말 한마디로 표현가능한 드라마",긍정
왜이렇게 평점이 높아 장난하나,부정
나는이걸엄마랑봣고 정말 똥충격이다공포라서 봣는데똥이다,부정
또 재개봉할줄이야 대박이네 아 이걸 봐야 하나 말아야 하나 너무많이 봐서 ㅎㅎ,긍정
거품처럼부풀렸을뿐 로맨틱코미디영화의매력은하나도없다.,부정
"간츠 솔직히 만화책으로 봐야 꿀잼임 영화나 애니화는 솔직히 망했다고 봅니다.간츠 영화화가 재밌다는 사람들은 뭐지..;;만화책으로 보시면 영화,애니화가 병맛이라는걸 알수 있으실겁니다.오쿠씨도 이런 망작 영화화를 왜 허락했는지 이해가 안감;",부정
납치하고 뭔지호기심은 유발 됐으나 긴장감도 없고 외계인인지 장난감인지 미국영화18,부정
진짜 재미 꽝 짜증남,부정
보고나봐라 돈아까워서미친다,부정
강추합니다!!!,긍정
제목그대로 링컨이 뱀파이어잡는내용인데 너무진부하다.노잼,부정
하루 너무 귀여웡♥,긍정
"영어 잘 못 하는 분들이나 Skype 이용 안 해본 사람한테는 재미 없을 겁니다. 하지만, 연출, 플롯, 영상 등 작품성으로 보면 아주 훌륭한 작품입니다. SNS를 이용하는 모두가 꼭 반드시 봐야 된다고 생각합니다. 친구들한테도 추천해주세요.",긍정
별점한개도 아깝다..ㅠ..디즈니나 픽사급을 생각한다면 절대 비추.. 스토리는 디즈니카의 어디쯤이고..연출..음악..은 우리나라 티비판 애니만도 못하다...더빙하신 성우분들께 경의를 표함..처음시작할때 스폰광고가 한개도없을때알아봤어야했는데..ㅠ,부정
어릴때부터 TV에서 하길 봤었는데 지금 보니까 재미있음.,긍정
짧지만 강하고 조으다.,긍정
흔하디 흔한 구멍동서 이야기,부정
1개만 보길 잘했다,부정
사이프리드가 아깝다..,부정
에로영화도 하나의 장르이다,긍정
2010년판인데..이 좋은작품을..얼굴 그림자 2도에 하이라이트도 없고... 화이팅여..,부정
탄탄한 구성으로 이루어진 참신한 상상과 스케일이 인상적이었던 한편 단순히 미래의 상상으로만 그칠 내용이 아닌 이미 현실에서도 기계에 익숙해져 인간의 능력이 퇴화해가는 듯하여 다시금 생각해보게 되었다.,긍정
뭐지 이영화는 그냥 보고있었는데 두시간이 지났네? 그런영화입니다. 별것도없는데 어느새 엔딩 ..,긍정
시간 아까움,부정
별반개도아까움 보다가 나왔음OOO 최악의영화.,부정
"미리 얘기도 안 하고 14살짜리한테 전라노출에 베드신에 가슴터치까지 하는 걸 협박해서 찍다니.. 양심도 없는 감독 같으니, 옛날이라 몰라서 그렇지, 지금 같았으면 소송감. 춘향뎐에서도 고등학생 쓴 거 보면 아주 나쁜놈임.",부정
결혼을 앞둔 연인에게 생각하게 하는 영화,긍정
재미없음열자등록해야해,부정
비교적 원작을 잘 담은 영화!,긍정
정말 재밌게 풀어낸 세상이야기,긍정
가슴찡한 스토리가 좋았어요~,긍정
조연들 연기가 넘 웃겼어요 100% 공감되는 대사까지ㅋㅋ 오연서 넘 예쁘고 노래도 굳,긍정
여러번 찾게 되는 영화.,긍정
진짜 슬프고 무섭고 재밌고 스토리도 구성지고 좋아요 좋아,긍정
코믹하게 잘 만들었군... 배우들 연기 잘하네..,긍정
대학 시절 중국어 수업에서 보게 된 영화인데 마지막 장면에서 주인공이 돌아가신 아버지를 대신해서 아버지께서 만드신 교과서로 가르치는 모습이 가장 감동적이었습니다.,긍정
대체 어디서 군국주의 미화가 나왔다는 건지?,긍정
정말 재밌게봤습니다 감독의 영화구성. 스토리. 촬영 모두다좋았구요 특히 김남희의 연기 참 좋았습니다,긍정
정말 지루하고 재미없던 영화,부정
저게이넘 지가 파졸리니라도 되느는냥 구는데 영화를 만들어라 니 ㅈ꼴리는 어린애들 게이물 만들지 말고 기가차지 어린애 애인이라고 꼬셔서 결혼? 영화사 사장자리 주고,부정
마녀들은 자전거를 안 타고 빗자루를 탄다는 사실을 영화가 끝나고서야 알았다,긍정
꼭 이렇게 최악의 영화를 만들어 이목을 끌고 싶으신가요?,부정
센스있고 너무 너무 재미난 작품!! 우연찮게 발견한 보물같은 작품!!,긍정
머리든것 없는 전형적인 무뇌 좌좀 좌빨 그린 영화. 결말 은 진짜 기가막히네.,부정
캐쓰레기,부정
또 볼 겁니다. 최고였어요.,긍정
앞으로인생을살아가면서도몇번씩돌려볼것같다.특히마지막병실에서 아들의이야기...아버지는그렇게 당신이그토록좋아하시던 물로 돌아가 이야기가되었다.,긍정
미키루크 불쌍하군,부정
"게임을 재밌게 한 사람, 마냥 좀비가 좋은사람, 예쁜 여주인공을 좋아하는 사람만",부정
에이~ 브라이언 드팔마는 이 정도 수준일뿐이다. 이 사람의 맘에 드는 작품은 스카페이스 밖에.,부정
사려깊지 못한 영화.한마디로 형편없다,부정
발전없는 늑대인간스토리,부정
"우와......... 배우 주연,조연 할것없이 들이 연기를 너무잘하고 참 감동적이었다.",긍정
지금 봐도 재밌을거 가탕요,긍정
"람보, 조국을 위해 모든걸 바쳤지만, 사람들에게 살인자, 인간 쓰레기 라며 우롱당하며, 군 복무 당시 친했던 친구들도 세상에 없으며 , 전장에서는 엘리트로 날렸지만 퇴역군인인 그는 주차 종업원 자리조차 얻을수 없는 현실에 절규하는 장면은 감성을울린다",긍정
딱 50cent 짜리 연기!! 보지마세요 액션도 거의 없고 시간 아깝습니다.,부정
과거에 껴맞추기 식.,부정
그녀는 하나,부정
남자들이 보기엔 눈이 너무 즐겁다~슴가,긍정
'쉽고 재밋고 감동적'이라는 가족영화의 매력을 잘 살렸다.,긍정
잔잔함.... 마음이 편안해 지는 영화,긍정
이게 그렇게 오래된 작품이었다니..,긍정
첫판보단 마음에 들지 않지만 괜찮습니다.,긍정
처음으로 보다만 영화군요. 원작을 망쳐도 떡주무르듯이 망쳤군요. 그나마 괜찮은건 원작빨이니까 이 감독은 그동안 주무셨나 싶네요.,부정
빈약한 개연성. 답답한 전개. 전형적 헐리우드 3류 스릴러,부정
여행가서 천둥번개 치는 밤에 봤는데 어우.. 대박ㅋㅋㅋ,긍정
그래서 결론적으로 누가 원인제공인지?,긍정
상어땜에 1점깎음ㅅㄱ,부정
누구의 잘못이라고 차마 말 할 수 있을까. 서로가 중요시 여기는 삶의 가치가 너무나도 다름을 탓할 수 밖에 없을 것 이다 내가 아직까지도 자식계획을 차마 세우지 못하는 이유라고 할 수 있는 영화,긍정
와...,긍정
디즈니 치고는 코미디 요소가 적은점에선 신선. 그러나 결말이 너무 허무하고 급하게 전개되어서 대실망했다.,부정
재밌고 감동적임---,긍정
마누라와 공동주연.베니니의 과욕때문에 망친영화. 원맨쇼하느라 욕보셨슴.,부정
역시 아메리칸 파이 시리즈는 최고다. 시작부터 압권,긍정
사랑은 내 속에 피어나는 감정의 이름이 아니라 너와 나의 관계의 이름이다,긍정
잔잔히 볼 수 있는 좋은 영화네요 잘봤습니다.,긍정
임원희씨 해병은 차렸에서 필이고 경례시 승입니다. 땅개나 절도없이 경례시 충성한번에하죠,부정
아. 이 영화 너무 아파요.,긍정
말이 필요한가 최고의영화 일뿐,긍정
화려한 전쟁 영화와는 다른 아기자기하고 치밀한 부분이 인상적임.,긍정
존나 재밌네요~~~~~강추;;;;;;;;;;,긍정
지루하고 재미가 없음,부정
베스트 글들의 눈물의 의미를 알게해주었네요...CG의 그 예전 백사때의 그리고 분장역시 유치함때문에 울었다는 사실을...님들 낚이지 마세요 ㅎ 눈물의 의미는 결코 러브스토리가 아닙니다..ㅋㅋ,부정
이런게 영화지 ! 패스트푸드 점 창고 안에서 전화한통으로 1시간 30분을 끌고 가는데 전혀 지루하지도 않고 정말 숨막히게 재밌었음. 우리나라도 저와 비슷한 실험을 했었는데 다 똑같이 당했음...,긍정
애절한 사랑을 절제미와 깔끔한 편집력으로 보는 내내 긴장되는 스페인퐁네프연인들,긍정
왜난재밌더만ㅋㅋㅋㅋㅋ,긍정
평점보고 빵터진건 처음임,부정
대체 무슨 짓을 한거야,부정
이게먼내용이지.. 조토끼는그만의취향이있는듯..,부정
시티헌터도 난 본방사수♥ 진짜 미노팬클럽만 가입안햇지나 미노팬♥ 넘멋있쪄~^^ 박민영이랑 커플까지 갔던 드라마..안타깝지만ㅋㅋ드라마에서만은 상대역과 정말 사랑하는 우리이민호님♥ 넘좋아했던 드라마♥,긍정
대사의 80%는 이야아압!!! 야아!!!! 엄마!! 아빠!!! 태양아!!! 태풍아!! 인거같다.스토리? 가족간에 사연도 존나 대충 넘어가고; 그냥 생각없는 액션영화인거같다.마지막 코끼리는... 영화를 보다가 뭐지씨발 하고 당황한건 처음이었다.,부정
'미친'사람과 보통 사람의 경계를 허무는 영화. 정말 잘 봣어요.,긍정
뭐하자는 거지? 관객을 우롱하는 영화.ㅡㅡ;,부정
평점 조절,부정
그다지...,부정
최고최고 이거 꼭 봤으면 좋것다.. 추억의 영화,긍정
이해가 안감...,부정
은유속에 잠긴듯했다..18살나이에도,긍정
재밌는데 왜 평점이 낮지,긍정
볼게 못된다 정말로 돈주고 보면 열받는 영화,부정
브라보! 영화를 보면서도 보고 난 후에도 눈물이 절로 흐른다,긍정
샘과 옵티머스 프라임이 처음 만나는 장면은 트랜스포머 시리즈를 통틀어 최고의 명장면이다.,긍정
어릴적 고속버스 단골상영 비디오.,긍정
궁디를 조 차삐까?,부정
플스여 영원하라!,긍정
티비에서 백원으로할인되길래봤긴하지만..너무재미없는듯..,부정
사전정보 없이 영화를 봤는데 영화끝나고 평점보기전까지 스티브카렐인지 전혀 몰랐네요... 다른 배우인줄 알았습니다. 그정도로 연기변신이 대단하네요. 세 주연배우 모두 연기가 너무 좋았고 영화의 몰입도는 스릴러영화보다도 높네요.,긍정
예~예~샹치마마디화 샨샨디레이꽝루삐잉화~ 아~~~아아~~아~~~아아아아~,긍정
정말 재밌고 좋습니다.,긍정
주인공이나 악당이나 그다지 매력이 없어. 드리프트도 왠지 답답,부정
난생첨으로 영화관에서 잔 영화,부정
어디서 들어 본 줄거리이긴 하지만 기대안하고 봐서 그런지 재미있었음...,긍정
영화개흐졉;;,부정
사우디아라비아 최초의 영화.. 안땡기시나요? ^^,긍정
..................,부정
"헉..이여자가 38이었단 말인가...상당히 섹시하던데, 그게 이영화의 전부라오.",긍정
이건 뭐 쓰레기 영화 ㅡㅡ... 최근 본것중 가장 쓰레기. 절대 보지마시길..,부정
"이런데 평점 잘 안씁니다만, 정말 재미있게 봤습니다.",긍정
ㅡㅡ,부정
나도 10대이고 비슷한상황이라서 그런지 너무 와닿았어.,긍정
최고의 영화!!! 이렇게 재밌을줄이야><,긍정
장난하나.내용도없고 뜻도없다.,부정
시간아까워,부정
어쩐지 열대나무도 그렇고 바라나시가 바라나시 같지가 않더라...,긍정
"전편은 못 봤지만,2편은 액션과 스릴,스토리의 짜임새가 훌륭하네요^^*",긍정
대박~이런 영화도 있구나ㅜ,부정
종교적인 위대한 사랑관을 보여준. 내 생에 가장 아름다운 작품.,긍정
역시 쩐다ㅋㅋㅋㅋ 근데2가더재밋는듯,긍정
"무로돌아가라고? 동의할 순 없지만, 충격효과는 대단하다",긍정
이 영화를 그냥 봤다면 시간 낭비이고 극장에서 봤다면 돈 낭비이다,부정
전설이 여기서 시작되는군,긍정
반미감정을 부추기는 영화란 이런 것. 미국 부르주아가 주는 혐오감.,부정
이런 좋은소재를가지고 이런쓰레기영화를 만들다니 대단하다,부정
유치하고 재미없음. 비추,부정
대학생활에 대한 환상을 심어줬던 내일은 사랑. 너무나 찬란하고 빛나보였지. 대학물 중에서는 최고!,긍정
아 진짜 재밌게 봤습니다♥♥,긍정
소랍은 살아서 평화의 땅으로 왔지만아프가니스탄에 있는 많은 아이들이 걱정된다...,긍정
정말 죽도록 패주고싶은영화.척하는 바보연기.공형진 목소리 오글오글.환장하겠다.,부정
허술하기 짝이없는 비급영화,부정
발레라는 낯선 소재로 만든 영화. 발레하는 사람들이 저렇게 노력을하는구나 글고 난 대체 뭘 하고 있는걸까 하는 생각도 들고 ㅜㅜ 여튼 발레에 대한 새로운 시각이 생겼습니다.,긍정
이게 영화야? 비키니 때문에 끝까지 봣다. 잘만드는게 야동뿐이지?,부정
주인공이 매력적이다. 환상적이고 독특한 플롯이다.,긍정
명불허전이죠.. 첫사랑.. 첫사랑이어서 가장 소중한..,긍정
어려운영화다.. 프로이트까지는 괜찮았지만 융?? 한국사람들이 잘 알지못하기에 더욱어렵지않았나싶다...하지만 알고본다면 정말 괜찮은 영화.. 배우도 멋있엇고 다만 키이라 나이틀리가 초반에 너무 심리적으로 압박을 받는거 같아 너무 과장되보였음,긍정
..,긍정
9점이상이제....훈훈한게 ......최고제..,긍정
당시 유명했던 할리웃 블록버스터 중에서는 다소 약한 편,부정
그녀처럼...스스로의 자존감을 찾을 수 있다면...나도...어떤 길이라도 갈 것이다.,긍정
정녕 영화와 인생의 로즈버드는 어디에? 오락만 추구하는 영화는 영화가 아니다.,긍정
비주얼은 최강이나 스토리는 최악,부정
애니도 아니고 영화도 아니고 이게 뭔 짬뽕임,부정
KBS 독립영화관 마지막회 작품이었습니다.,긍정
명작이다.명작이다 십명작이다,긍정
로그인하게 만드네 왤케 평점이 낮음?? 재밋어여ㅋㅋ,긍정
"재밌게보진못했다 앞쪽부분의 뚝뚝끊기는 편집에, 예루살렘이 나올때마다 보여주는 딱봐도그래픽혹은 미니어쳐티가 확나는 조악한 전경은 도대체 왜계속보여주는지...한10번은 나온것같다;;독실한신자입장에선좋다고볼수있는영화겠지만 그렇지않고서는지루할수밖에없었던...",부정
쟁쟁한 배우들 그러나 실망스러운 영화,부정
B급은 아니지만 참으로 초라한 연출. 당시 주로 TV 드라마에나 출연하던 베리모어... 감지덕지하고 덜컥 받았지만 지금쯤 물르고 싶겠지...,부정
플레이스테이션2의 '사이렌' 게임을 재밌게 즐겨서 그런지 나름 괜찬았다.,긍정
발상은 좋았으나 어색한 연기와 더불어 스토리가 지루함.강약제로에 뜬금없이 죽어가는 저 배우들..어이제로,부정
영화는 시종일관 흥쾌한데 난 즐겁지가 않더라,부정
1점도아깝다 ㅡㅡ..,부정
이 감독님 야구치감독 팬이신가보다...근데 왜 그 영화들이 사랑받는지는 몰르나보다...ㅋㅋㅋ 이건 흉내도 제대로 못낸...,부정
평점이 생각보다 낫네요...전 이영화 10번도 더 봤는데,긍정
재밌게 봤다..그런데 좀 무섭고..우울할때 보면..딱,긍정
한번 보세요~ 잠 잘~~~옵니다^^간만에 숙면취했음.,부정
아 최악이다 그냥 여자 주인공 미스캐스팅,부정
이런 sf영화가 너무 좋다,긍정
평점이 너무 높아.. 스토리가 좀 엉성함,부정
"현실성개무시한이건뭐야,,? 발연기봐라,,너는 사투리나잘써라..,,신입이한태배와,",부정
수단에서 목적이 되어가는 그들의 사랑이야기,긍정
오예 깎아버령~~싄난당,부정
"""맘에 안드는 인간이랑 영화를 봐라.그리고 """"이 영화 참 재밌죠!"""" 한마디만 날려라.그러면 도망 갈 것이다.""",부정
재미없엇던 기억이;,부정
언제 봐도 항상 좋고 질리지도 않고 너무 좋은 ㅠㅠ.. 정말 저런 곳에서 살고 싶다 어렸을 적 꿈이 하울이랑 결혼하는 거였는데..♥ 볼 때 마다 항상 빠지네 하울 너란 남자.,긍정
아이가 없어져서 초반엔 절규하더니 막판엔 희망이 생기자 너무 덤덤해 한다,부정
용재오닐의 음악을 들으면.... 뭐라 표현할 수 없는 깊은 메세지가 느껴졌었다. 용재오닐이 왜 그토록 깊은 선율을 만들어 낼 수 있었는지를 이 영화에서 찾게 되었다. 아이들의 순수함과 음악 속에서 전해지는 깊은 메세지.... 최고의 다큐영화였다.,긍정
정신 나간 듯한 멜 깁슨 캐릭터가 좋았다,긍정
이게 10점이라니 난 반댈세,부정
잊을 수 없는 마지막 장면,긍정
재미 진짜 없어다,부정
이게 진짜 현실 100% 재판이다.. 남 일 이라고? 언젠가 자신이 겪게 될 수도 있다.. 진짜 집중하면서 봤다 ㅠ,긍정
진짜 재미없다.,부정
이런게 정말 영화지..,긍정
그러하다 창문은 탈출구가 아니다,부정
지루하고 이상하고 변태적인 OOO기,부정
영화계의 현실을 진솔하게 보여준 지표같은 영화!,긍정
왜 굳이 이걸 영화화 해야했는가. 웃음만 나올뿐.,부정
예수를 믿지 않는 자들이보면 이거 뭐여 하겠지..,부정
뭐지 이건... 리즈위더스푼때문에 꾸역꾸역 본영화..,부정
별점 하나도 아깝다. 평점 남기는 유일한 이유는 다른 희생자를 막기위해서. 출연자보고ㅠ재미있겠다는 생각은 버리세요. 견자단이 아깝다... 견자단 제일 좋아하는데...,부정
은근 재미있습니다. 태자와 장미. 장사장님과 장미엄마 알콩달ㅋ콩,긍정
전작에 속지 말자,부정
개인적으로 2보다 이게 작품성이 좋더라 ㅋㅋ,긍정
"감독,원작소설은 읽어보기나 했냐??!!",부정
싸이코패스가 만든 영환줄 알았다. 이런영화가 5점씩이나...헐..,부정
스토리 전개가 너무 연결이 안됨 이걸 본 시간이 아깝다,부정
최악ㅡㅡ 시간만 버렸다,부정
일본영화 좋아한다면 꼭 봐야할 영화!,긍정
정말 짜증나는 드라마이다 ‥ 차라리 수사드라마라고 해라 ‥말도 안되는 전개! 요즘같이 스트레스많은세상에 너무복잡하게 끌고가는? ‥ 아무리작가맘이라지만 ‥? 완전 형편없는 드라마다! 아무래도 작가가 바뀌지않고서야‥ 어떻게 이런일이 ‥‥에라이 !,부정
정말 소름끼친다 다시 방영해줬으면 좋겠다!!!,긍정
노잼이다분명히 호러영화에 끔찍하단 말이 나왔는데 말이야누가 호러영화에 헨타이 닌자거북이 넣으랬냐,부정
난 그래도 태권선수들 지들 도장홍보할때 이마에서 피나는거 좀 웃겼음,긍정
내용이 무슨 내용인지도 모르겠고... 초반에 할머니 대사할때 자막은 왜 넣었는지 모르겠고... 캐릭터들이 하나같이 욕을 왜 하는지도 모르겠고... 난 이 영화를 왜 봤는지 모르겠고ㅠㅠ,부정
...?정말...? 이 영화가 이렇게 평이 높다고....? 네이버 평점은 정말.... 믿을 수도 없고 종잡을 수도 없다,부정
재기발랄함은 온대간대없고 화장실 유머만 남았다,부정
피아노를 치다가 끊었는데 오늘 이 명작애니를 보고 다시치고 싶어졌다..,긍정
전반적으로 드라마 스토리의 질을 높여야 한다. 공상소설이 아니고서는 그리고 말도안되는 소재로 질질 끄는 전개는 짜증~,부정
웃기고 재밌고 멋진 영화는 아니다. 하지만 아름다운 영화다.,긍정
"무채색에 가까운 단편소설 같은 영화입니다. 무라카미 하루키의 문체가 고스란히 녹아 있는, 정말 멋있는 작품입니다. 사카모토 류이치의 ost도 정말 좋음. 하나의 코드로 이리 공허하면서도 여운이 남는 선율을 뽑아내다니...외로움은 자각한 순간 공포죠..",긍정
너무 좋아요ㅎㅎ웃기면서도 슬픈 어릴 적 기억이 새록새록ㅎㅎㅎ,긍정
긴장감 만들려고 억지설정 난무하고 속 답답해지게 만드는 전형적인 영국애자영화....,부정
톰크루즈 정말 잘생김...ㄷㄷ,긍정
암만 고전이지만 너무 재미었다.,부정
진짜 웃긴다. 두사부일체 일본판!,긍정
트렌드를 무력화시키다.,부정
시작하고 3분 봤을때 개인적으로 싫어하는 영상스타일이었고..역시나..였다. 다신 보고싶지않은 영화.,부정
아이폰으로 촬영했다는 의의 외에 신들리는 연기는 역시 이정현이구나 싶다... 하지만 결정적으로 재미는 없다.,부정
재밍,긍정
1편이 훨씬낫다 2편은 재미없다 별로,부정
원작에 비하면 어떤 휴머니즘이나 남는게 전혀없는 전형적인 그저그런 한국영화,부정
레알 쓰레기다. 어쩔수없이 본영화지만 내가 수많은영화를보면서 시간낭비라는 느낌을받은 몇안되는영화,부정
OCN에서 다시해주는거 보는데 너무 재밌고 웃겨요!! 그리고 성동일씨 뽕 넣은 장면 진짜 웃겼어요ㅋㅋㅋ,긍정
